system,body,is star,type,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Thuecheae CX-B b33-1,Thuecheae CX-B b33-1,Star,M,3039.0,371988896.0,8.980347,0.382813,M3,Va
Thuecheae LP-W b35-7,Thuecheae LP-W b35-7,Star,M,3062.0,382749952.0,8.885635,0.332031,M3,Va
Thuecheae QB-T b37-8,Thuecheae QB-T b37-8 A,Star,M,3501.0,438274464.0,8.00943,0.433594,M1,Va
Thuecheae QB-T b37-8,Thuecheae QB-T b37-8 B,Star,M,2012.0,246549296.0,11.665192,0.195313,M9,VI
Thuecheae TS-P b39-7,Thuecheae TS-P b39-7,Star,M,2257.0,274162976.0,10.935394,0.234375,M8,Va
Thuecheae UL-J d10-98,Thuecheae UL-J d10-98,Star,G,5917.0,823210624.0,4.360596,1.214844,G1,Vab
Thuecheae IX-G b44-2,Thuecheae IX-G b44-2 A,Star,M,2446.0,290442560.0,10.46077,0.234375,M7,Va
Thuecheae IX-G b44-2,Thuecheae IX-G b44-2 B,Star,T,995.0,133080576.0,16.063202,0.066406,T5,V
Thuecheae TJ-P c22-17,Thuecheae TJ-P c22-17,Star,K,3875.0,564690432.0,7.018066,0.625,K8,Va
Thuecheae WR-H d11-54,Thuecheae WR-H d11-54,Star,F,7176.0,815781888.0,3.542267,1.5,F2,Vb
Thuecheae WR-H d11-54,Thuecheae WR-H d11-54 13,Star,Y,464.0,60788328.0,20.629074,0.019531,Y3,V
Thuecheae WR-H d11-54,Thuecheae WR-H d11-54 12,Star,Y,393.0,50685240.0,21.788879,0.015625,Y4,V
Crucis Sector IH-V b2-4,Crucis Sector IH-V b2-4 A,Star,M,3145.0,427810560.0,8.527725,0.421875,M,Va
Nuenets,Nuenets A,Star,G,5942.0,687710400.0,4.732956,1.003906,G,Vb
Nuenets,Nuenets B,Star,M,3480.0,422377024.0,8.115799,0.429688,M,Va
Nuenets,Nuenets C,Star,L,1862.0,248183632.0,11.987396,0.167969,L,V
Merope,Merope,Star,B,17620.0,2109783680.0,-0.954636,5.246094,B,NA
ER 8,ER 8,Star,DC,25232.0,8723465.0,7.933914,0.457031,DC,VII
LHS 1044,LHS 1044 A,Star,DC,24225.0,14390533.0,7.025467,0.246094,DC,VII
Bastas,Bastas A,Star,M,2667.0,312622656.0,9.925201,0.269531,M,Va
HIP 116574,HIP 116574,Star,K,4358.0,533999104.0,7.629715,0.636719,K,V
Col 285 Sector GH-M c7-8,Col 285 Sector GH-M c7-8 A,Star,G,5489.0,651203456.0,5.195908,0.863281,G,Vab
Synuefai KI-H d11-64,Synuefai KI-H d11-64,Star,A,7557.0,864599296.0,3.191315,1.394531,A,VI
Pyrie Euq TI-K c8-0,Pyrie Euq TI-K c8-0 A,Star,K,3958.0,486646208.0,7.249069,0.511719,K8,Va
Pyrie Euq TI-K c8-0,Pyrie Euq TI-K c8-0 B,Star,M,2771.0,392046496.0,9.267303,0.347656,M5,Va
Pyrie Euq DQ-G c10-0,Pyrie Euq DQ-G c10-0 B,Star,K,3841.0,467055552.0,7.468674,0.480469,K9,Va
Pyrie Euq DQ-G c10-0,Pyrie Euq DQ-G c10-0 A,Star,G,5464.0,590669824.0,5.427628,0.839844,G6,Vab
Pyrie Euq DQ-G c10-0,Pyrie Euq DQ-G c10-0 D,Star,M,3582.0,413589856.0,8.035965,0.40625,M0,Va
Pyrie Euq DQ-G c10-0,Pyrie Euq DQ-G c10-0 C,Star,K,3759.0,484544960.0,7.482559,0.511719,K9,Va
Pyrie Euq IH-D c12-0,Pyrie Euq IH-D c12-0,Star,K,5007.0,673171264.0,5.523087,0.871094,K1,Va
Pyrie Euq YV-C b26-0,Pyrie Euq YV-C b26-0 A,Star,M,2052.0,253341296.0,11.520676,0.234375,M9,VI
Pyrie Euq LZ-V b29-0,Pyrie Euq LZ-V b29-0 A,Star,M,3344.0,345733600.0,8.723862,0.375,M2,Va
Pyrie Euq LZ-V b29-0,Pyrie Euq LZ-V b29-0 B,Star,M,2146.0,279469216.0,11.112839,0.238281,M9,VI
Pyrie Euq XA-W c15-0,Pyrie Euq XA-W c15-0 A,Star,K,4977.0,647871104.0,5.632401,0.777344,K1,Va
Pyrie Euq XA-W c15-0,Pyrie Euq XA-W c15-0 B,Star,M,2125.0,255867056.0,11.347183,0.234375,M9,VI
Pyrie Euq XA-W c15-0,Pyrie Euq XA-W c15-0 C,Star,K,3790.0,453577696.0,7.590317,0.496094,K9,Va
Pyrie Euq FN-S c17-1,Pyrie Euq FN-S c17-1 A,Star,K,3900.0,463213824.0,7.420364,0.5625,K8,Va
Pyrie Euq FN-S c17-1,Pyrie Euq FN-S c17-1 B,Star,M,2514.0,267859168.0,10.517471,0.246094,M6,Va
Pyrie Euq RJ-I d9-4,Pyrie Euq RJ-I d9-4,Star,F,6386.0,737949888.0,4.266693,1.226563,F7,Vb
Pyrie Euq PF-N c20-0,Pyrie Euq PF-N c20-0 A,Star,K,4823.0,565093696.0,6.065842,0.746094,K2,Va
Pyrie Euq PF-N c20-0,Pyrie Euq PF-N c20-0 B,Star,M,2718.0,341913120.0,9.648376,0.320313,M5,Va
Pyra Dryiae HI-R c21-0,Pyra Dryiae HI-R c21-0,Star,K,4368.0,597100992.0,6.376633,0.710938,K5,Va
Pyra Dryiae KO-P c22-0,Pyra Dryiae KO-P c22-0,Star,K,5024.0,655660672.0,5.565628,0.855469,K1,Va
Pyrie Euq CE-G c24-0,Pyrie Euq CE-G c24-0,Star,K,5158.0,652689152.0,5.461136,0.832031,K0,Va
Pyrie Euq GK-E c25-0,Pyrie Euq GK-E c25-0,Star,K,4976.0,564945152.0,5.930756,0.75,K1,Vab
Pyrie Euq NW-A c27-1,Pyrie Euq NW-A c27-1,Star,M,3502.0,444875488.0,7.975723,0.5,M1,Va
Pyrie Euq NL-W b56-0,Pyrie Euq NL-W b56-0 A,Star,M,2548.0,365133248.0,9.78624,0.3125,M6,Va
Pyrie Euq NL-W b56-0,Pyrie Euq NL-W b56-0 B,Star,L,1732.0,221631200.0,12.547562,0.152344,L3,V
Syriae Thua BA-A c1,Syriae Thua BA-A c1,Star,K,4980.0,567555840.0,5.917252,0.753906,K1,Vab
Syriae Thua JC-V b2-0,Syriae Thua JC-V b2-0 A,Star,M,2860.0,344375200.0,9.411575,0.300781,M4,Va
Syriae Thua JC-V b2-0,Syriae Thua JC-V b2-0 C,Star,T,1001.0,119199456.0,16.276367,0.066406,T4,V
Syriae Thua JC-V b2-0,Syriae Thua JC-V b2-0 B,Star,L,1470.0,192765216.0,13.563126,0.125,L7,V
Syre Thua HS-P b5-0,Syre Thua HS-P b5-0,Star,M,3445.0,377549824.0,8.403397,0.410156,M1,Va
Syre Thua XM-W d1-1,Syre Thua XM-W d1-1,Star,F,6375.0,773671552.0,4.171509,1.082031,F7,Vb
Syre Thua BT-U d2-2,Syre Thua BT-U d2-2 B,Star,M,3359.0,410788160.0,8.329956,0.449219,M2,Va
Syre Thua BT-U d2-2,Syre Thua BT-U d2-2 A,Star,F,7052.0,848086272.0,3.533646,1.25,F2,Vb
Syre Thua BT-U d2-2,Syre Thua BT-U d2-2 E,Star,K,3902.0,452707488.0,7.467987,0.492188,K8,Va
Syre Thua BT-U d2-2,Syre Thua BT-U d2-2 C,Star,K,3807.0,482104064.0,7.438416,0.507813,K9,Va
Syre Thua BT-U d2-2,Syre Thua BT-U d2-2 D,Star,G,5750.0,684356864.0,4.886246,0.917969,G3,Vab
Syre Thua PQ-Z b13-0,Syre Thua PQ-Z b13-0,Star,M,3180.0,379863360.0,8.737823,0.429688,M3,Va
Syre Thua EZ-S d3-0,Syre Thua EZ-S d3-0,Star,G,5409.0,613974848.0,5.387527,0.945313,G7,Vab
Syre Thua IF-R d4-6,Syre Thua IF-R d4-6 A,Star,G,5347.0,627983360.0,5.388626,0.800781,G8,Vab
Syre Thua IF-R d4-6,Syre Thua IF-R d4-6 B,Star,M,2097.0,260345536.0,11.367126,0.195313,M9,VI
Syre Thua YZ-H b23-0,Syre Thua YZ-H b23-0,Star,M,2521.0,319435872.0,10.122925,0.316406,M6,Va
Syre Thua NY-A b27-0,Syre Thua NY-A b27-0 A,Star,M,2632.0,354181152.0,9.711502,0.296875,M6,Va
Syre Thua NY-A b27-0,Syre Thua NY-A b27-0 B,Star,T,1261.0,160630608.0,14.625397,0.097656,T0,V
Syre Thua NY-A b27-0,Syre Thua NY-A b27-0 C,Star,L,1662.0,195248528.0,13.002045,0.136719,L4,V
Syre Thua NY-A b27-0,Syre Thua NY-A b27-0 D,Star,T,1075.0,148680944.0,15.486511,0.078125,T3,V
Syre Thua XQ-V b29-0,Syre Thua XQ-V b29-0 A,Star,M,2601.0,296173280.0,10.151428,0.253906,M6,Va
Syre Thua XQ-V b29-0,Syre Thua XQ-V b29-0 B,Star,L,1405.0,192871328.0,13.758392,0.117188,L8,V
Syre Thua DD-S b31-0,Syre Thua DD-S b31-0 A,Star,M,3295.0,402340608.0,8.458633,0.4375,M2,Va
Syre Thua DD-S b31-0,Syre Thua DD-S b31-0 D,Star,M,3291.0,381030752.0,8.582123,0.433594,M2,Va
Syre Thua DD-S b31-0,Syre Thua DD-S b31-0 B,Star,M,2105.0,275733632.0,11.225876,0.199219,M9,VI
Syre Thua DD-S b31-0,Syre Thua DD-S b31-0 C,Star,L,1686.0,199981712.0,12.887741,0.125,L4,V
Syre Thua WN-S c17-0,Syre Thua WN-S c17-0,Star,K,4689.0,552910592.0,6.23558,0.691406,K3,Va
Straae Eohn VF-L d9-2,Straae Eohn VF-L d9-2,Star,A,7751.0,797273728.0,3.257278,1.390625,A8,VI
Straae Eohn WC-T c20-0,Straae Eohn WC-T c20-0 A,Star,K,4849.0,608583680.0,5.881439,0.855469,K2,Va
Straae Eohn WC-T c20-0,Straae Eohn WC-T c20-0 B,Star,M,2416.0,337307296.0,10.189484,0.296875,M7,Va
Straae Eohn WC-T c20-0,Straae Eohn WC-T c20-0 C,Star,K,4759.0,612892352.0,5.947495,0.765625,K2,Va
Straae Eohn YL-J d10-1,Straae Eohn YL-J d10-1,Star,F,7482.0,843268224.0,3.288895,1.53125,F0,VI
Straae Eohn CS-H d11-2,Straae Eohn CS-H d11-2 A,Star,F,7459.0,803068160.0,3.408356,1.460938,F0,VI
Straae Eohn CS-H d11-2,Straae Eohn CS-H d11-2 B,Star,K,4676.0,557898432.0,6.228134,0.75,K3,Va
Straae Eohn FY-F d12-3,Straae Eohn FY-F d12-3 A,Star,F,6348.0,887479872.0,3.891891,1.390625,F7,Vab
Straae Eohn FY-F d12-3,Straae Eohn FY-F d12-3 C,Star,K,3767.0,440694144.0,7.679352,0.496094,K9,Va
Straae Eohn FY-F d12-3,Straae Eohn FY-F d12-3 B,Star,K,4829.0,633607936.0,5.81189,0.867188,K2,Va
Straae Eohn FY-F d12-3,Straae Eohn FY-F d12-3 D,Star,M,3104.0,439845120.0,8.524475,0.429688,M3,Va
Straae Eohn LR-Q b52-0,Straae Eohn LR-Q b52-0,Star,M,3122.0,343504992.0,9.036301,0.371094,M3,Va
Straae Eohn AV-E c28-0,Straae Eohn AV-E c28-0,Star,K,4664.0,604423616.0,6.065308,0.820313,K3,Va
Straae Eohn IN-E b59-0,Straae Eohn IN-E b59-0 A,Star,M,2610.0,337859168.0,9.850418,0.277344,M6,Va
Ceeckia WB-I b2-0,Ceeckia WB-I b2-0,Star,M,3249.0,343483744.0,8.86322,0.351563,M2,Va
Coringha,Coringha,Star,G,5550.0,721946304.0,4.923828,0.949219,G,Vab
Cyoagia XV-U d3-17,Cyoagia XV-U d3-17,Star,F,6454.0,854453760.0,3.902328,1.21875,F,Vb
Cyoagia AT-N c8-9,Cyoagia AT-N c8-9 A,Star,K,3755.0,435494048.0,7.718994,0.5,K,Va
Cyoagia AT-N c8-9,Cyoagia AT-N c8-9 B,Star,M,2168.0,235745792.0,11.438095,0.183594,M,VI
Cyoagia GK-K c10-7,Cyoagia GK-K c10-7 A,Star,K,4305.0,502819648.0,6.813004,0.703125,K,Vab
Cyoagia GK-K c10-7,Cyoagia GK-K c10-7 B,Star,M,2067.0,248162416.0,11.533875,0.21875,M,VI
Cyoagia OW-G c12-2,Cyoagia OW-G c12-2,Star,K,4567.0,549535808.0,6.363388,0.683594,K,Va
Cyoagia WI-D c14-4,Cyoagia WI-D c14-4,Star,K,4065.0,457631680.0,7.266708,0.523438,K,Va
Cyoagia EV-Z c15-11,Cyoagia EV-Z c15-11 A,Star,K,4439.0,574878400.0,6.388962,0.644531,K,Va
Cyoagia EV-Z c15-11,Cyoagia EV-Z c15-11 B,Star,M,2440.0,301988928.0,10.38678,0.253906,M,Va
Cyoagia RA-M d8-6,Cyoagia RA-M d8-6 A,Star,F,6119.0,726785536.0,4.485352,0.992188,F,Vb
Cyoagia RA-M d8-6,Cyoagia RA-M d8-6 B,Star,M,2147.0,270024096.0,11.185486,0.222656,M,VI
Cyoagia QN-U c18-8,Cyoagia QN-U c18-8 A,Star,K,4405.0,522707456.0,6.628998,0.566406,K,Va
Cyoagia QN-U c18-8,Cyoagia QN-U c18-8 B,Star,M,2620.0,291567456.0,10.153854,0.257813,M,Va
Cyoagia ZM-I d10-45,Cyoagia ZM-I d10-45 A,Star,K,4614.0,519778400.0,6.439835,0.738281,K,Vab
Cyoagia ZM-I d10-45,Cyoagia ZM-I d10-45 B,Star,M,3260.0,395760864.0,8.540863,0.460938,M,Va
Cyoagia ZM-I d10-45,Cyoagia ZM-I d10-45 D,Star,M,3032.0,437552832.0,8.637787,0.414063,M,Va
Cyoagia ZM-I d10-45,Cyoagia ZM-I d10-45 C,Star,K,4576.0,561676480.0,6.307373,0.734375,K,Va
Cyoagia GM-N c22-8,Cyoagia GM-N c22-8 A,Star,K,4427.0,580927552.0,6.378006,0.710938,K,Va
Cyoagia GM-N c22-8,Cyoagia GM-N c22-8 C,Star,T,1147.0,151525088.0,15.163757,0.082031,T,V
Cyoagia GM-N c22-8,Cyoagia GM-N c22-8 B,Star,L,1998.0,224220640.0,11.901688,0.191406,L,V
Cyoagia DT-G d11-12,Cyoagia DT-G d11-12 A,Star,G,5660.0,725618176.0,4.827576,0.957031,G,Vz
Cyoagia DT-G d11-12,Cyoagia DT-G d11-12 B,Star,TTS,4241.0,516743232.0,6.818726,0.554688,TTS,Va
Cyoagia SE-I c25-4,Cyoagia SE-I c25-4 A,Star,K,3701.0,552995520.0,7.263107,0.601563,K,Va
Cyoagia SE-I c25-4,Cyoagia SE-I c25-4 B,Star,M,3634.0,435769952.0,7.859894,0.433594,M,Va
Cyoagia SE-I c25-4,Cyoagia SE-I c25-4 C,Star,M,3230.0,390645632.0,8.609283,0.371094,M,Va
Cyoagia LF-D d13-22,Cyoagia LF-D d13-22,Star,G,5428.0,656021504.0,5.228424,1.03125,G,Vab
Cyoagia PL-B d14-7,Cyoagia PL-B d14-7 A,Star,F,6869.0,797846784.0,3.780472,1.273438,F,Vb
Cyoagia PL-B d14-7,Cyoagia PL-B d14-7 D,Star,M,3332.0,399666272.0,8.424637,0.382813,M,Va
Cyoagia PL-B d14-7,Cyoagia PL-B d14-7 B,Star,G,5392.0,556327808.0,5.615341,0.796875,G,Vab
Cyoagia PL-B d14-7,Cyoagia PL-B d14-7 C,Star,K,4952.0,659863232.0,5.614456,0.921875,K,Va
Cyoagia GI-B c29-11,Cyoagia GI-B c29-11 A,Star,K,4091.0,482825696.0,7.12262,0.566406,K,Va
Cyoagia GI-B c29-11,Cyoagia GI-B c29-11 C,Star,T,1261.0,162455952.0,14.600845,0.089844,T,V
Cyoagia GI-B c29-11,Cyoagia GI-B c29-11 B,Star,M,2013.0,254211520.0,11.596558,0.195313,M,VI
Blae Flyi MZ-D c1,Blae Flyi MZ-D c1 A,Star,K,3948.0,504772320.0,7.180634,0.648438,K,Va
Blae Flyi MZ-D c1,Blae Flyi MZ-D c1 B,Star,M,3351.0,396546208.0,8.416946,0.460938,M,Va
Blae Flyi MZ-D c1,Blae Flyi MZ-D c1 C,Star,M,3019.0,337689344.0,9.219147,0.335938,M,Va
Blae Flyi JI-A d1-30,Blae Flyi JI-A d1-30,Star,G,5897.0,760787968.0,4.54657,1.066406,G,Vab
Blae Flyi AD-X c3-4,Blae Flyi AD-X c3-4 A,Star,K,4003.0,543507904.0,6.959946,0.632813,K,Va
Blae Flyi AD-X c3-4,Blae Flyi AD-X c3-4 C,Star,T,735.0,96892008.0,17.56691,0.039063,T,V
Blae Flyi AD-X c3-4,Blae Flyi AD-X c3-4 D,Star,L,1449.0,200151488.0,13.543945,0.121094,L,V
Blae Flyi AD-X c3-4,Blae Flyi AD-X c3-4 B,Star,M,2279.0,235193936.0,11.226273,0.195313,M,Va
Blae Flyi IP-T c5-1,Blae Flyi IP-T c5-1,Star,K,4020.0,529032480.0,7.000168,0.558594,K,Va
Blae Flyi QB-Q c7-0,Blae Flyi QB-Q c7-0 A,Star,K,5128.0,644177984.0,5.514969,0.835938,K,Va
Blae Flyi QB-Q c7-0,Blae Flyi QB-Q c7-0 B,Star,K,3984.0,469008256.0,7.300797,0.574219,K,Va
Blae Flyi YN-M c9-7,Blae Flyi YN-M c9-7,Star,K,4213.0,488853600.0,6.968018,0.558594,K,Va
Blae Flyi ZG-T d4-18,Blae Flyi ZG-T d4-18 A,Star,G,5368.0,610791104.0,5.431839,0.933594,G,Vab
Blae Flyi ZG-T d4-18,Blae Flyi ZG-T d4-18 B,Star,K,4105.0,561103424.0,6.781418,0.621094,K,Va
Blae Flyi KG-H c12-5,Blae Flyi KG-H c12-5 A,Star,K,4958.0,610175552.0,5.779205,0.742188,K,Vab
Blae Flyi KG-H c12-5,Blae Flyi KG-H c12-5 B,Star,K,4261.0,464041600.0,7.031921,0.597656,K,Va
Blae Flyi SS-D c14-4,Blae Flyi SS-D c14-4 A,Star,G,5588.0,662813504.0,5.079834,0.820313,G,Vab
Blae Flyi SS-D c14-4,Blae Flyi SS-D c14-4 B,Star,M,3628.0,435791168.0,7.866959,0.453125,M,Va
Blae Flyi SS-D c14-4,Blae Flyi SS-D c14-4 D,Star,M,3286.0,455848800.0,8.199341,0.441406,M,Va
Blae Flyi SS-D c14-4,Blae Flyi SS-D c14-4 C,Star,K,4323.0,536758368.0,6.653,0.609375,K,Va
Blae Flyi LZ-N d7-19,Blae Flyi LZ-N d7-19 A,Star,G,5547.0,662304128.0,5.113525,1.015625,G,Vab
Blae Flyi LZ-N d7-19,Blae Flyi LZ-N d7-19 B,Star,K,3742.0,458077376.0,7.624237,0.453125,K,Va
Blae Flyi DL-Y c16-3,Blae Flyi DL-Y c16-3 A,Star,K,4466.0,573923328.0,6.366241,0.722656,K,Va
Blae Flyi DL-Y c16-3,Blae Flyi DL-Y c16-3 B,Star,L,1789.0,214520816.0,12.477707,0.136719,L,V
Blae Flyi NS-U c18-1,Blae Flyi NS-U c18-1,Star,K,4282.0,486773600.0,6.906708,0.546875,K,Va
Blae Flyi UJ-R c20-0,Blae Flyi UJ-R c20-0 A,Star,K,4060.0,456230816.0,7.278717,0.527344,K,Va
Blae Flyi UJ-R c20-0,Blae Flyi UJ-R c20-0 B,Star,M,2505.0,319096256.0,10.152893,0.265625,M,Va
Blae Flyi YP-P c21-0,Blae Flyi YP-P c21-0,Star,K,4717.0,597928768.0,6.039688,0.769531,K,Va
Blae Flyi BY-G d11-14,Blae Flyi BY-G d11-14,Star,G,5896.0,664702528.0,4.840622,0.980469,G,Vb
Blae Flyi FE-F d12-13,Blae Flyi FE-F d12-13 A,Star,F,6507.0,706749184.0,4.279007,1.101563,F,VI
Blae Flyi FE-F d12-13,Blae Flyi FE-F d12-13 B,Star,M,2402.0,329008320.0,10.268845,0.273438,M,Va
Blae Flyi WA-F c27-0,Blae Flyi WA-F c27-0 A,Star,K,4021.0,457313312.0,7.315491,0.550781,K,Va
Blae Flyi WA-F c27-0,Blae Flyi WA-F c27-0 B,Star,L,1492.0,183702160.0,13.603195,0.132813,L,V
Blae Flyi MQ-B d14-13,Blae Flyi MQ-B d14-13 A,Star,G,5376.0,647956032.0,5.297119,0.824219,G,Vab
Blae Flyi MQ-B d14-13,Blae Flyi MQ-B d14-13 B,Star,M,3032.0,362925824.0,9.043915,0.355469,M,Va
Pyuefua HJ-E c3,Pyuefua HJ-E c3 A,Star,K,4370.0,542234432.0,6.584,0.753906,K,Va
Pyuefua HJ-E c3,Pyuefua HJ-E c3 B,Star,M,2800.0,376849408.0,9.307968,0.359375,M,Va
Pyuefua HJ-E c3,Pyuefua HJ-E c3 C,Star,L,1588.0,209978672.0,13.041931,0.148438,L,V
Pyuefua NK-C c1-2,Pyuefua NK-C c1-2 A,Star,G,5302.0,594299264.0,5.545059,0.8125,G,Vab
Pyuefua NK-C c1-2,Pyuefua NK-C c1-2 B,Star,M,2426.0,298019872.0,10.440506,0.289063,M,Va
Pyuefua TB-Z c2-0,Pyuefua TB-Z c2-0,Star,K,4543.0,519587360.0,6.507996,0.652344,K,Va
Pyuefua BO-V c4-0,Pyuefua BO-V c4-0,Star,K,4563.0,582922688.0,6.23909,0.664063,K,Va
Pyuefua GU-T c5-0,Pyuefua GU-T c5-0,Star,K,4539.0,547285952.0,6.399017,0.636719,K,Va
Pyuefua NG-Q c7-0,Pyuefua NG-Q c7-0 A,Star,K,4436.0,605866880.0,6.277847,0.691406,K,Va
Pyuefua NG-Q c7-0,Pyuefua NG-Q c7-0 B,Star,M,3552.0,439187136.0,7.942078,0.488281,M,Va
Pyuefua NG-Q c7-0,Pyuefua NG-Q c7-0 C,Star,L,1976.0,251176352.0,11.703217,0.207031,L,V
Pyuefua UX-M c9-0,Pyuefua UX-M c9-0,Star,K,3814.0,451158048.0,7.574509,0.554688,K,Va
Pyuefua ZG-T d4-4,Pyuefua ZG-T d4-4,Star,G,5575.0,666379328.0,5.078339,0.855469,G,Vab
Pyuefua IL-H c12-1,Pyuefua IL-H c12-1 A,Star,K,4324.0,493183520.0,6.835892,0.628906,K,Vab
Pyuefua IL-H c12-1,Pyuefua IL-H c12-1 C,Star,M,2218.0,293032000.0,10.866547,0.261719,M,Va
Pyuefua IL-H c12-1,Pyuefua IL-H c12-1 B,Star,M,2887.0,386336992.0,9.121033,0.34375,M,Va
Cemiess,Cemiess,Star,G,6263.0,751385280.0,4.556931,1.148438,G,V
Col 285 Sector HH-M c7-9,Col 285 Sector HH-M c7-9 A,Star,K,4569.0,622507264.0,6.090683,0.816406,K,Va
Latuslogii,Latuslogii A,Star,G,5238.0,616627968.0,5.517715,0.816406,G,Vab
38 Ceti,38 Ceti A,Star,F,8270.0,992309952.0,2.724731,1.820313,F,V
LAWD 7,LAWD 7 A,Star,DA,5548.0,6155242.5,15.268951,0.875,DA,VII
Puppis Sector ZJ-R a4-0,Puppis Sector ZJ-R a4-0,Star,T,809.0,96340160.0,18.02916,0.039063,T,V
Hyades Sector DR-V c2-23,Hyades Sector DR-V c2-23 A,Star,M,3631.0,512413312.0,7.511597,0.542969,M,Va
LP 84-34,LP 84-34 A,Star,M,2835.0,333104768.0,10.333359,0.316406,M,V
LP 58-247,LP 58-247,Star,DA,24334.0,8086715.5,8.254837,0.535156,DA,VII
LP 790-29,LP 790-29,Star,DQ,23682.0,6898116.5,8.721222,0.671875,DQ,O
Pyramoe EO-D c1-25,Pyramoe EO-D c1-25,Star,K,4515.0,515172576.0,6.553391,0.589844,K,Va
Pyramoe ZP-B b5-7,Pyramoe ZP-B b5-7 A,Star,M,2658.0,309417664.0,9.96225,0.285156,M,Va
Pyramoe ZP-B b5-7,Pyramoe ZP-B b5-7 B,Star,M,2531.0,267562032.0,10.490616,0.253906,M,Va
Pyramoe RV-Z c2-28,Pyramoe RV-Z c2-28,Star,K,4451.0,593068224.0,6.30957,0.691406,K,Va
Pyramoe ZE-U b8-9,Pyramoe ZE-U b8-9,Star,M,2732.0,335630528.0,9.666336,0.289063,M,Va
Pyramoe NY-Y d1-139,Pyramoe NY-Y d1-139 A,Star,A,8012.0,1007676864.0,2.604721,1.636719,A,Vb
Pyramoe NY-Y d1-139,Pyramoe NY-Y d1-139 B,Star,F,6137.0,731200384.0,4.459442,0.980469,F,Vb
Pyramoe VN-O b11-7,Pyramoe VN-O b11-7 A,Star,M,2429.0,265842800.0,10.683304,0.230469,M,Va
Pyramoe VN-O b11-7,Pyramoe VN-O b11-7 B,Star,L,1700.0,184614832.0,13.025467,0.128906,L,V
Pyramoe VN-O b11-7,Pyramoe VN-O b11-7 C,Star,L,1618.0,185527488.0,13.229538,0.113281,L,V
Pyramoe VN-O b11-7,Pyramoe VN-O b11-7 D,Star,T,1009.0,117798600.0,16.267471,0.058594,T,V
Pyramoe UZ-W d2-43,Pyramoe UZ-W d2-43 A,Star,A,8747.0,940521024.0,2.37326,1.730469,A,VI
Pyramoe UZ-W d2-43,Pyramoe UZ-W d2-43 B,Star,K,5082.0,548835392.0,5.902008,0.808594,K,Vab
Pyramoe RW-I b14-0,Pyramoe RW-I b14-0,Star,M,2953.0,321813056.0,9.419754,0.296875,M,Va
Pyramoe GZ-E b16-1,Pyramoe GZ-E b16-1 A,Star,M,2359.0,302158752.0,10.532211,0.242188,M,Va
Pyramoe GZ-E b16-1,Pyramoe GZ-E b16-1 B,Star,M,2444.0,292289120.0,10.450562,0.238281,M,Va
Pyramoe GZ-E b16-1,Pyramoe GZ-E b16-1 C,Star,L,1455.0,171200640.0,13.865341,0.117188,L,V
Pyramoe RL-B b18-6,Pyramoe RL-B b18-6 A,Star,M,2078.0,276625088.0,11.274918,0.226563,M,VI
Pyramoe RL-B b18-6,Pyramoe RL-B b18-6 B,Star,M,2171.0,271658432.0,11.124084,0.222656,M,Va
Pyramoe RL-B b18-6,Pyramoe RL-B b18-6 C,Star,L,1436.0,181855584.0,13.791321,0.117188,L,V
Pyramoe BI-Z b18-2,Pyramoe BI-Z b18-2,Star,M,2956.0,369866400.0,9.113052,0.378906,M,Va
Pyramoe UU-K c10-16,Pyramoe UU-K c10-16,Star,M,3573.0,452962176.0,7.849396,0.460938,M,Va
Pyramoe XP-K c10-3,Pyramoe XP-K c10-3 A,Star,K,4766.0,569657088.0,6.100021,0.792969,K,Vab
Pyramoe XP-K c10-3,Pyramoe XP-K c10-3 B,Star,M,2981.0,374790592.0,9.04776,0.34375,M,Va
NGC 6565 Sector HC-U b3-4,NGC 6565 Sector HC-U b3-4,Star,M,2900.0,343038048.0,9.359695,0.289063,M,Va
CD-28 14266,CD-28 14266,Star,W,53919.0,3865895424.0,-8.594498,1.085938,W,I
NGC 6565 Sector LN-T c3-14,NGC 6565 Sector LN-T c3-14 A,Star,K,5132.0,577892416.0,5.747437,0.804688,K,Vab
NGC 6565 Sector LN-T c3-14,NGC 6565 Sector LN-T c3-14 C,Star,K,3723.0,507849984.0,7.422333,0.519531,K,Va
NGC 6565 Sector LN-T c3-14,NGC 6565 Sector LN-T c3-14 B,Star,K,4240.0,536949376.0,6.73645,0.675781,K,Va
Pyramoe VZ-N d7-88,Pyramoe VZ-N d7-88,Star,F,6617.0,699405312.0,4.228867,1.175781,F,VI
Pyramoe NB-Z b32-1,Pyramoe NB-Z b32-1,Star,M,2628.0,314384320.0,9.976974,0.324219,M,Va
Pyramoe PM-X b33-6,Pyramoe PM-X b33-6 A,Star,M,2643.0,279320672.0,10.209091,0.257813,M,Va
Pyramoe PM-X b33-6,Pyramoe PM-X b33-6 B,Star,T,1121.0,150463840.0,15.278625,0.074219,T,V
Pyramoe PM-X b33-6,Pyramoe PM-X b33-6 C,Star,M,2166.0,261534112.0,11.216599,0.1875,M,VI
Pyramoe UZ-N d7-63,Pyramoe UZ-N d7-63,Star,N,4311148.0,10664.0625,4.773819,0.847656,N,VII
Pyramoe JY-L b39-0,Pyramoe JY-L b39-0 A,Star,M,3397.0,385105952.0,8.421295,0.375,M,Va
